196,[  0.24636725   0.4021507    0.57431849   0.21822677 -10.        ]
197,[0.24547852 0.40246173 0.5735562  0.21766044 0.32742372]
198,[0.24508948 0.40113412 0.57086144 0.21669239 0.32624036]
199,[0.24437144 0.40074653 0.56880332 0.21647951 0.32533543]
200,[0.24379424 0.39899694 0.56612837 0.21632096 0.32401359]
201,[0.24289684 0.39702311 0.56384973 0.21525006 0.3239613 ]
202,[-10.           0.39796885   0.56188758   0.21496296   0.3227543 ]
203,[-10.           0.39689958   0.56175129   0.21562999 -10.        ]
204,[0.2408287  0.39583513 0.56099734 0.21463508 0.32105318]
205,[0.24065303 0.39455879 0.55994764 0.21388735 0.31958065]
206,[0.23958403 0.39302305 0.55940479 0.21285408 0.31874186]
207,[-10.           0.39162457   0.55769754   0.2121384    0.31742854]
208,[0.23913917 0.39011377 0.5553629  0.21171982 0.31590975]
209,[-10.           0.38851477   0.55426201   0.21119846   0.31582575]
210,[0.23959149 0.38814936 0.55398748 0.21055626 0.31434523]
211,[  0.23846134   0.3873641    0.55187742   0.21004577 -10.        ]
212,[0.23798368 0.38583951 0.5505849  0.20948962 0.31573414]
213,[0.23689329 0.38540536 0.54816559 0.2086767  0.31478798]
214,[0.23583858 0.38436572 0.5481138  0.20913614 0.31457514]
215,[0.23548798 0.38404739 0.54669111 0.20879692 0.31393665]
216,[  0.23440278   0.38283689   0.54427445   0.20831047 -10.        ]
217,[0.23426997 0.38272341 0.545661   0.20911696 0.31467358]
218,[0.23499211 0.3817134  0.54358809 0.20816209 0.31323672]
219,[0.23441978 0.38012914 0.5427383  0.20786335 0.313454  ]
220,[-10.           0.38007891   0.54072099   0.20714389   0.31246812]
221,[  0.2340977    0.37905481   0.53847894   0.20643576 -10.        ]
222,[0.23324415 0.37758811 0.53870312 0.20687533 0.31402267]
223,[0.23253501 0.37662177 0.53743747 0.20595178 0.31326939]
224,[0.23193454 0.3751003  0.53542284 0.20545264 0.31315327]
225,[-10.           0.37395253   0.53450473   0.20476521   0.31353104]
226,[0.23050415 0.37296884 0.53285049 0.20397544 0.31250422]
