,Time,class,Count,From,To
286,6:00pm - 7:00pm,bicycle_tricycle,2,North,South
287,6:00pm - 7:00pm,jeepney,,North,South
288,6:00pm - 7:00pm,motorela,,North,South
289,6:00pm - 7:00pm,others,,North,South
290,7:00pm - 8:00pm,cars_SUV,304,North,South
291,7:00pm - 8:00pm,motorcycles_scooters,93,North,South
292,7:00pm - 8:00pm,taxi,66,North,South
293,7:00pm - 8:00pm,buses,,North,South
294,7:00pm - 8:00pm,smallTrucks,1,North,South
295,7:00pm - 8:00pm,largeTrucks,,North,South
296,7:00pm - 8:00pm,bicycle_tricycle,2,North,South
297,7:00pm - 8:00pm,jeepney,,North,South
298,7:00pm - 8:00pm,motorela,1,North,South
299,7:00pm - 8:00pm,others,1,North,South
300,5:00am - 6:00am,cars_SUV,,South,East
301,5:00am - 6:00am,motorcycles_scooters,0,South,East
302,5:00am - 6:00am,taxi,,South,East
303,5:00am - 6:00am,buses,,South,East
304,5:00am - 6:00am,smallTrucks,,South,East
305,5:00am - 6:00am,largeTrucks,,South,East
306,5:00am - 6:00am,bicycle_tricycle,,South,East
307,5:00am - 6:00am,jeepney,,South,East
308,5:00am - 6:00am,motorela,2,South,East
309,5:00am - 6:00am,others,,South,East
310,6:00am - 7:00am,cars_SUV,1,South,East
311,6:00am - 7:00am,motorcycles_scooters,2,South,East
312,6:00am - 7:00am,taxi,,South,East
313,6:00am - 7:00am,buses,,South,East
314,6:00am - 7:00am,smallTrucks,,South,East
315,6:00am - 7:00am,largeTrucks,,South,East
316,6:00am - 7:00am,bicycle_tricycle,,South,East
317,6:00am - 7:00am,jeepney,,South,East
318,6:00am - 7:00am,motorela,4,South,East
319,6:00am - 7:00am,others,,South,East
320,7:00am - 8:00am,cars_SUV,12,South,East
321,7:00am - 8:00am,motorcycles_scooters,9,South,East
322,7:00am - 8:00am,taxi,2,South,East
323,7:00am - 8:00am,buses,,South,East
324,7:00am - 8:00am,smallTrucks,,South,East
325,7:00am - 8:00am,largeTrucks,,South,East
326,7:00am - 8:00am,bicycle_tricycle,,South,East
327,7:00am - 8:00am,jeepney,,South,East
328,7:00am - 8:00am,motorela,10,South,East
329,7:00am - 8:00am,others,,South,East
330,8:00am - 9:00am,cars_SUV,17,South,East
331,8:00am - 9:00am,motorcycles_scooters,10,South,East
332,8:00am - 9:00am,taxi,2,South,East
333,8:00am - 9:00am,buses,,South,East
334,8:00am - 9:00am,smallTrucks,1,South,East
335,8:00am - 9:00am,largeTrucks,,South,East
336,8:00am - 9:00am,bicycle_tricycle,,South,East
337,8:00am - 9:00am,jeepney,,South,East
338,8:00am - 9:00am,motorela,11,South,East
339,8:00am - 9:00am,others,,South,East
340,9:00am - 10:00am,cars_SUV,6,South,East
341,9:00am - 10:00am,motorcycles_scooters,6,South,East
342,9:00am - 10:00am,taxi,1,South,East
343,9:00am - 10:00am,buses,,South,East
344,9:00am - 10:00am,smallTrucks,,South,East
345,9:00am - 10:00am,largeTrucks,,South,East
346,9:00am - 10:00am,bicycle_tricycle,,South,East
347,9:00am - 10:00am,jeepney,,South,East
348,9:00am - 10:00am,motorela,6,South,East
349,9:00am - 10:00am,others,,South,East
350,10:00am - 11:00am,cars_SUV,12,South,East
351,10:00am - 11:00am,motorcycles_scooters,13,South,East
352,10:00am - 11:00am,taxi,,South,East
353,10:00am - 11:00am,buses,,South,East
354,10:00am - 11:00am,smallTrucks,1,South,East
355,10:00am - 11:00am,largeTrucks,,South,East
356,10:00am - 11:00am,bicycle_tricycle,,South,East
357,10:00am - 11:00am,jeepney,,South,East
358,10:00am - 11:00am,motorela,15,South,East
359,10:00am - 11:00am,others,,South,East
360,11:00am - 12:00nn,cars_SUV,13,South,East
361,11:00am - 12:00nn,motorcycles_scooters,13,South,East
362,11:00am - 12:00nn,taxi,3,South,East
363,11:00am - 12:00nn,buses,,South,East
